mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.093428452809652,0.6975803862196461,0.4310139020284017,0.18925303030157442,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9797385173523171,0.9792579408543264,0.9809008762322016,0.9799657781462816,0.0006897075541239838,11,0.9999657721796276,0.9998973200533936,0.9999315467022624,0.9999315463117612,2.7945463514996683e-05
4.788135131200154,0.1240764869815156,0.6297376155853271,0.09188387654858077,30,1,2,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9797385173523171,0.9792579408543264,0.9809008762322016,0.9799657781462816,0.0006897075541239838,11,0.9999657721796276,0.9998973200533936,0.9999315467022624,0.9999315463117612,2.7945463514996683e-05
5.776911815007527,0.6597058174414834,0.6782433191935221,0.10832627704274256,30,1,5,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9800807721267711,0.9796002190580504,0.9802163198247535,0.9799657703365249,0.0002643408122139695,13,0.9983228368017525,0.9981175343122155,0.9982886675565595,0.9982430128901759,8.981662605730193e-05
3.4973217646280923,0.6846608963709578,0.5944168567657471,0.18418157306846802,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9800807721267711,0.9796002190580504,0.9802163198247535,0.9799657703365249,0.0002643408122139695,13,0.9983228368017525,0.9981175343122155,0.9982886675565595,0.9982430128901759,8.981662605730193e-05
10.124692996342977,0.6546738103264161,1.8326003551483154,0.9339919242487305,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9797385173523171,0.9793263964950711,0.9807639649507119,0.9799429595993666,0.0006044271339857807,15,0.9952081051478642,0.9954820823493172,0.9946948694253346,0.9951283523075053,0.00032628865909427074
12.814288059870401,1.5680799030611716,1.3922847112019856,0.47787039790254904,30,2,2,200,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9797385173523171,0.9793263964950711,0.9807639649507119,0.9799429595993666,0.0006044271339857807,15,0.9952081051478642,0.9954820823493172,0.9946948694253346,0.9951283523075053,0.00032628865909427074
6.959463119506836,1.0124884268053558,1.0638093948364258,0.0973816741386754,30,1,5,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9798754192620988,0.9796686746987951,0.9801478641840088,0.9798973193816343,0.00019624024750558333,17,0.9986308871851041,0.9987678406407229,0.998733613991854,0.9987107806058937,5.81955604681014e-05
4.660602966944377,0.1870316242355132,0.6185747782389323,0.26144217795617475,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9798754192620988,0.9796686746987951,0.9801478641840088,0.9798973193816343,0.00019624024750558333,17,0.9986308871851041,0.9987678406407229,0.998733613991854,0.9987107806058937,5.81955604681014e-05
13.926734606424967,1.7398095674657863,2.098583777745565,0.7966365835202915,30,1,2,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9798754192620988,0.9792579408543264,0.9804901423877328,0.9798745008347193,0.000503044588722127,19,1.0,1.0,1.0,1.0,0.0
8.617488940556845,2.3441981037271793,2.0337702433268228,0.7724448418165906,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9798754192620988,0.9792579408543264,0.9804901423877328,0.9798745008347193,0.000503044588722127,19,1.0,1.0,1.0,1.0,0.0
